Begin IJ Block
2   7   8   18   -0.0001249653
2   7   8   19   -0.0000000000
2   7   8   21   0.0089344198
2   7   8   22   0.0000000000
2   7   8   23   0.0114753080
2   7   8   26   0.0063483103
2   7   8   27   -0.0000000000
2   7   8   28   0.0042987819
2   7   8   29   0.0000000000
2   7   8   30   -0.0000000000
2   7   9   24   0.0073537447
2   7   10   20   0.0031921338
2   7   10   25   0.0071187562
2   7   11   16   0.0145120042
2   7   11   17   0.0000000000
2   7   11   18   0.0078145423
2   7   11   19   0.0000000000
2   7   11   21   0.0142621455
2   7   11   23   0.0063483103
2   7   11   26   0.0237725240
2   7   11   27   -0.0000000000
2   7   11   28   0.0048044392
2   7   11   29   0.0000000000
2   7   11   30   0.0000000000
2   7   12   16   -0.0000000000
2   7   12   17   0.0017524920
2   7   12   18   0.0000000000
2   7   12   19   -0.0018613071
2   7   12   21   -0.0000000000
2   7   12   22   -0.0027111086
2   7   12   23   -0.0000000000
2   7   12   26   -0.0000000000
2   7   12   27   0.0037409180
2   7   12   28   -0.0000000000
2   7   12   29   0.0023446462
2   7   12   30   -0.0022373328
2   7   13   16   0.0050846331
2   7   13   17   -0.0000000000
2   7   13   18   -0.0017575587
2   7   13   19   0.0000000000
2   7   13   21   0.0056998744
2   7   13   22   0.0000000000
2   7   13   23   0.0042987819
2   7   13   26   0.0048044392
2   7   13   27   -0.0000000000
2   7   13   28   0.0053632106
2   7   13   29   -0.0000000000
2   7   13   30   0.0000000000
2   7   14   16   0.0000000000
2   7   14   17   0.0020667214
2   7   14   18   -0.0000000000
2   7   14   19   -0.0038693982
2   7   14   21   0.0000000000
2   7   14   22   -0.0019334555
2   7   14   23   0.0000000000
2   7   14   26   0.0000000000
2   7   14   27   0.0023446462
2   7   14   28   -0.0000000000
2   7   14   29   0.0057840783
2   7   14   30   -0.0066340754
2   7   15   17   0.0046214286
2   7   15   18   -0.0000000000
2   7   15   19   0.0127390452
2   7   15   21   0.0000000000
2   7   15   22   -0.0154620573
2   7   15   23   -0.0000000000
2   7   15   26   0.0000000000
2   7   15   27   -0.0022373328
2   7   15   28   0.0000000000
2   7   15   29   -0.0066340754
2   7   15   30   0.0264890338
2   8   1   17   -0.0113724331
2   8   1   19   -0.0031698575
2   8   1   22   0.0217425781
2   8   1   23   0.0000000000
2   8   1   26   -0.0000000000
2   8   1   27   -0.0048006406
2   8   1   28   0.0000000000
